时间,MEC,NEERI,SHPE,SZPE,Deposit,Loan,M2,PPI,PPI_pro,PPI_ex,PPI_raw,PPI_fac,PPI_liv,PPI_food,PPI_clo,PPI_gen,PPI_dur,IPI,RECI_imputed,CPI_seasadj,CPI_food_seasadj,CPI_health_seasadj,CPI_trans_seasadj,Consumption_imputed_seasadj,Import_seasadj,Export_seasadj,M0_seasadj,M1_seasadj,Trade_balance_seasadj
2002/1/1,94.93,86.66,34.35,35.49,143388.45,113194.69,157853.45,73.4060183537696,68.4098604799155,31.5894653733126,56.7006348586585,85.5656955233542,91.0330309795216,74.8623880232411,89.2493288652684,88.9345082134183,124.188458606331,59.8224050683746,103.91,78.4086188692429,55.7903404336156,88.8332514130437,110.538705882533,3240.97364951105,207.868411179431,245.950674008269,14803.2644212211,58372.8187801297,38.082262828838
2002/2/1,95.01,87.22,35.13,36.52,144349.17,113709.88,159182.97,73.0912979550761,68.0359468391009,31.3875348081649,56.9422880645384,85.2948909976292,90.332400933622,75.1060147432322,87.948066327554,88.4144545132004,121.883173115292,59.0227820767284,103.53,78.1373863545711,55.3798199538385,88.7046639382714,110.581976959308,3262.98374667455,199.69178439867,223.312854064713,14886.9345759538,59593.3918998708,23.621069666043
2002/3/1,95.45,86.67,37.18,39.41,147209.94,116255,162300.93,72.6922264208893,67.6618144887868,32.4586945146074,56.7977298521321,83.9838441260798,90.2004860704148,74.2546536966157,90.3313296502314,88.002273645817,121.895783410027,58.6156651453453,103.87,78.0405689072761,55.4864765428635,88.3721787680167,110.129765129227,3273.87869384799,220.107188165298,259.54731827619,15138.2604829099,60004.7795988354,39.440130110892
2002/4/1,96.54,86.26,39.04,45.44,150603.98,117179.02,162825.22,73.3305965570115,68.6101319601274,35.4360477195578,57.2142320231311,84.2808147475965,90.1330870805668,74.4472779073853,89.8144076695335,87.833978424681,120.14750205412,59.0494361306671,104.6,77.9502175193306,55.2396709038692,88.1967929773925,109.921598868723,3305.10670426135,239.75929763629,259.808889316887,15380.9160910233,61298.8167268554,20.049591680597
2002/5/1,96.98,84.59,38.7,41.8,153258.07,118286.23,164268.36,73.9801915500653,69.3099138670727,37.0245574222346,58.7086240811633,84.1775231319553,90.4049760065318,74.4222274590794,89.6399154452745,87.8409934612166,122.16189029085,59.9606853361667,104.37,78.0285085036254,55.5687126664758,87.9735784552813,109.859862814699,3354.12758790198,240.24353005581,259.929052281682,15525.771269881,62279.1558711108,19.685522225872
2002/6/1,97.19,83.14,44.38,47.48,157645.11,121137.64,167869.41,74.3367490144366,69.6098679731237,39.3432424612172,58.4291004746441,83.8753402280956,90.3108727655136,75.2537526294983,89.7260719436239,88.1179044118861,119.922406188812,60.3649138465247,104.65,78.1866459634041,55.9932617032007,87.8910464763796,109.582430814544,3349.16163074249,228.971913551405,262.371573216734,15579.1309414043,62865.4290895302,33.399659665329
2002/7/1,97.12,81.44,42.35,47.48,158780.22,121754.4,169122.95,74.6217379374187,70.1781677200156,40.4427816779523,59.0660901372737,84.3117879407533,90.236094826353,74.611042304066,90.2721770915683,88.3242378182551,120.315186730073,60.6969147803883,104.29,78.1205148378161,55.8082457881505,87.9097971424201,109.408515612596,3364.33365995812,260.219955042634,283.930425424213,15737.4525567313,64228.6904690565,23.710470381579
2002/8/1,97.87,82.18,42.97,46.26,161671.05,123483.62,171524.2,74.5286281292702,70.2209769167983,40.0993510133028,59.2980115702093,84.5130988256541,89.9533254120585,74.611346443778,90.093033845866,87.97459446,118.722158402937,61.0685310926078,104.46,78.1006162589428,55.8128549125088,87.9713697393223,109.276951102566,3400.61352941661,265.439159854229,285.042704384355,15952.8241727611,65217.3633969368,19.603544530126
2002/9/1,98.31,82.59,40.36,43.8,165674.85,126366.74,175254.87,74.6327037754887,70.3341502236803,41.3358866192891,59.5133726382288,83.9493601301499,90.1152319465873,74.8819698008726,90.448583175025,87.8784680942744,118.849300051406,61.5755209970712,104.97,78.0624738249308,55.9149816044516,87.6878429033107,109.074332819939,3424.66994603762,277.350401693756,296.81908450575,15973.2250826139,66305.7022119571,19.468682811994
2002/10/1,98.89,83.36,38.16,41.38,166454.92,127089.14,175534.74,75.6766801762152,71.518261962453,41.3257101197843,61.641301430486,84.6950348369983,90.2631383688307,74.64201492,90.1031995751364,88.2902581059998,118.962267007975,62.1937382575559,105.15,78.0305841216508,55.8928120526318,87.9855626443511,109.064206475031,3477.54362167696,273.917604135431,295.26531791438,16183.8842956039,67393.0395692101,21.347713778949
2002/11/1,98.42,82.3,36.37,38.8,168595.9,128627.75,178018.43,75.8551404084326,71.9910758981393,41.128601969836,62.4642303284307,84.7396530222739,89.7595006399989,74.0829967867934,89.7195225404694,88.3357787214019,118.59353167034,62.5556836641246,104.9,78.0269934113371,55.9910791725212,87.8767177130718,108.85930790864,3530.66723049181,281.818988242196,300.662091355356,16358.8041089208,68284.0565497647,18.84310311
2002/12/1,99.08,82,34.43,36.97,170917.4,131293.93,183246.94,75.060838892093,70.9504814139181,37.0515303516634,61.9434454005048,84.6160710565948,89.6532489291009,73.8899303422812,89.2823346408911,88.314717728327,118.129186521295,62.2343450354985,104.18,78.1597858472825,56.1788330960477,87.8516907693796,108.741893124351,3848.48486997089,274.081616781278,307.344213911707,16576.8295774052,68747.5807465689,33.262597130429
2003/1/1,100,80.53,37.85,39.85,173409.17,134615.13,188918.38,75.1677627942601,71.0094351781523,37.9705373787217,61.5201888216445,84.3677757860272,89.5765024838493,74.9372504112644,88.9815808786726,88.0451631312841,118.103224134621,61.7367220305626,108.89,78.3972174638967,56.6298646975984,87.7754358967803,108.602970495548,3530.43548614917,314.435942038898,320.483211845353,16864.4258323614,69880.8795321761,6.04726980645501
2003/2/1,100.91,80.5,38.11,40.56,176585.78,135714.13,188444.37,76.0149498732791,72.0500677026078,40.0191068804102,63.661478056154,84.4419420876529,89.1580797214849,75.3313327874619,87.4203779295887,87.7071388770948,117.25161253691,61.8558756164114,109.14,78.6476878190585,56.8736054261592,87.7633171903011,108.636893976414,3645.75411258623,317.557845514901,330.508939348427,17441.3456541072,70825.7390877609,12.951093833526
2003/3/1,100.21,80.57,38.1,39.01,182295.33,139436.56,192832.44,76.0360688362502,72.1951560595355,42.5533485086503,63.4998619746837,83.8998602819537,89.1180802375698,74.4774176577055,89.9700043316304,87.3862577302963,117.263743640446,62.0153737237754,107.34,78.756875589369,57.2542428101048,87.7353569934047,108.161721128894,3667.64844278236,317.103517531178,320.364193387883,17055.9295640436,71975.817162039,3.26067585670501
2003/4/1,99.09,80.52,38.42,39.55,184627.83,141377.15,194476.98,75.970498033064,72.2464689540141,43.4800305518975,62.7067982973517,84.4493763770917,89.05149004,74.8939615748296,89.4551500388554,87.2191405757083,115.341601971956,62.5333528623765,106.89,78.7758071249435,57.0189981634844,89.0032501366077,107.763772870438,3692.39912252075,322.028302268548,347.137620984919,16927.8078068946,72431.3825962188,25.109318716371
2003/5/1,99.05,78.37,38.2,41.54,188954.27,143908.41,197811.96,75.4597953810666,71.5278311108191,42.133946346503,62.0550156537896,84.1775231319553,89.2297113184469,74.8687608238339,89.1917158680481,87.4896294873717,116.542443337471,62.598955490958,106.28,78.5486272774742,56.6223123682504,89.8795553507662,107.273985810666,3628.0371462076,339.72740032934,358.03337463847,17433.4520127371,73904.6703663949,18.30597431
2003/6/1,99.45,78.24,36.04,38.36,194306.47,149156.56,203071.74,75.3031267516242,71.2108949365056,42.2939856458085,61.2921263979017,83.7914648878675,89.2271422923274,75.5547676400163,89.6363458716803,87.6773148898266,114.885665128882,62.7191454865392,107.04,78.3892566302948,56.1469410631081,89.6986737865895,107.08306994529,3782.73326285778,320.671318586239,345.490574917222,17491.6501049967,75611.8516881708,24.819256330983
