时间,中国:出口金额:当月同比,中国:进口金额:当月同比,进口总值当期值(千美元),出口总值当期值(千美元),中国:贸易差额:当月值,中国:宏观经济景气指数:一致指数,中国:金融条件指数:第一财经研究院,中国:中金CMI指数:初值,中国:国房景气指数,中国:制造业PMI,中国综合PMI:产出指数,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:食品:当月同比,中国:CPI:食品:环比,中国:CPI:医疗保健,中国:CPI:医疗保健:环比,中国:CPI:交通和通信,中国:CPI:交通和通信:环比,工业生产者出厂价格指数(上年同月=100),工业生产者出厂价格指数(上月=100),生产资料工业生产者出厂价格指数(上年同月=100),生产资料工业生产者出厂价格指数(上月=100),采掘业生产资料工业生产者出厂价格指数(上年同月=100),采掘业生产资料工业生产者出厂价格指数(上月=100),原料业生产资料工业生产者出厂价格指数(上年同月=100),原料业生产资料工业生产者出厂价格指数(上月=100),加工业生产资料工业生产者出厂价格指数(上年同月=100),加工业生产资料工业生产者出厂价格指数(上月=100),生活资料工业生产者出厂价格指数(上年同月=100),生活资料工业生产者出厂价格指数(上月=100),食品类工业生产者出厂价格指数(上年同月=100),食品类工业生产者出厂价格指数(上月=100),衣着类工业生产者出厂价格指数(上年同月=100),衣着类工业生产者出厂价格指数(上月=100),一般日用品类工业生产者出厂价格指数(上年同月=100),一般日用品类工业生产者出厂价格指数(上月=100),耐用消费品类工业生产者出厂价格指数(上年同月=100),耐用消费品类工业生产者出厂价格指数(上月=100),工业生产者购进价格指数(上年同月=100),工业生产者购进价格指数(上月=100),商品零售当期值(亿元),社会消费品零售总额当期值(亿元),名义有效汇率指数:人民币:广义,上证所:平均市盈率,深交所:平均市盈率,中国:金融机构各项存款余额:人民币,中国:金融机构各项贷款余额:人民币,流通中现金(M0)供应量同比增长(%),货币(M1)供应量同比增长(%),货币和准货币(M2)供应量同比增长(%),流通中现金(M0)供应量期末值(亿元),货币(M1)供应量期末值(亿元),货币和准货币(M2)供应量期末值(亿元)
2000-01,47.6,54.1,15258393,16797277,15.23,96.5,,,102.24,,,99.8,100.9,96.9,NA,100,NA,94.2,NA,100,,101.9,,118.7,,103.1,,97.4,,96.5,,94.5,,98.4,,97.2,,95,,102.1,,,2962.9,76.84,,,107778.8,93838.2,34.2,19.4,14.9,16093.9,46570.1,118907.8
2000-02,34.5,54,13428609,14775380,13.52,97.54,,,102.57,,,100.7,101.9,98.6,NA,99.8,NA,94.2,NA,101,,103.1,,124.6,,104.6,,97.1,,97.4,,93.6,,100.9,,97.2,,97,,103.6,,,2804.9,78.15,,,109962.7,94352.9,9.4,15.3,12.8,13983,44679.2,119353.6
2000-03,35.9,23.9,17813579,20146482,23.33,96.9,,,101.82,,,99.8,98.4,96.7,NA,99.7,NA,93.8,NA,101.9,,104.4,,128.5,,106.2,,97.6,,97.2,,94.6,,100,,97.7,,95.2,,104.8,,,2626.6,77.96,,,112320.22,95776.55,16.7,18.7,13,13235.4,45158.45,120399.58
2000-04,38.8,32.7,18360795,20500392,21.58,97.27,,,101.85,,,99.7,99.1,96.1,NA,99.7,NA,93.7,NA,102.6,,105.3,,133.9,,107.2,,97.5,,97.6,,94.9,,100.4,,97.9,,96.2,,105.3,,,2571.5,78.13,,,113386.35,96604.65,21.8,21.7,13.7,13675.5,46319.03,121914.77
2000-05,29.6,24.2,16966429,20105176,31.47,96.98,,,102.2,,,100.1,99,96.9,NA,99.8,NA,93.8,NA,102.5,,104.9,,119.4,,108.5,,98.2,,98.2,,95.3,,100.9,,98.9,,96.6,,105.5,,,2636.9,79.71,,,114679.66,96174.88,20.1,22.3,12.7,13075.45,46490.23,121902.65
2000-06,45,39.8,20301402,22192970,19.05,97.35,,,102.69,,,100.5,98.5,97.6,NA,99.9,NA,93.6,NA,102.9,,105.5,,119.1,,110.1,,98.1,,98.4,,94.9,,101.9,,97.9,,98.4,,107.1,,,2645.2,78.65,,,117443.25,94847.87,19.5,23.7,13.7,13006.04,48024.4,124486.78
2000-07,24,40,19491628,21478509,19.87,97.9,,,102.94,,,100.5,99.2,97.6,NA,100,NA,93.7,NA,104.5,,107.2,,126.3,,111.5,,98.5,,99.7,,95.4,,104.6,,99.4,,97.8,,108.6,,,2596.9,79.15,,,117155.09,94362.51,17.5,22.6,13.4,13156.47,47803.09,124192.78
2000-08,27.3,54.6,20787740,23329185,25.4,97.68,,,103.32,,,100.3,101,97.4,NA,100.5,NA,93.7,NA,103.9,,106.4,,127.8,,110.6,,99.8,,98,,97.4,,100,,98.6,,96.8,,104.6,,,2636.3,79.82,,,118127.02,94874.36,17.4,21.9,13.3,13378.68,48885.38,125673.26
2000-09,23.7,35.7,20715034,22973290,22.68,97.34,,,103.52,,,100,101.6,96.3,NA,101.1,NA,93.7,NA,103.7,,106.4,,125.4,,111.1,,99.8,,97.3,,97.7,,98.8,,97.4,,95.4,,105.1,,,2854.3,80.45,,,120048.33,95995.51,13.4,20.8,13.4,13894.69,50616.89,128352.61
2000-10,24.9,37.1,18916401,22799974,38.27,96.23,,,103.43,,,100,99.9,96.3,NA,101.3,NA,93.6,NA,103.6,,106.1,,126.8,,110.2,,99.8,,97.5,,97.3,,99.9,,98.2,,95.6,,105.2,,,3029.3,81.41,,,119955.19,96709.81,11.8,18.2,12.3,13589.45,49952.84,127432.53
2000-11,13.7,28,21640881,22154881,5.06,95.89,,,103.68,,,101.3,100.7,99,NA,101.1,NA,93.8,NA,103.5,,105.8,,126.6,,109.6,,99.7,,97.9,,98,,100.3,,97.9,,96,,105,,,3107.8,81.83,,,121868.23,98180.28,11.2,17.1,12.4,13877.7,50787.49,128887.4
2000-12,8.5,22.9,21414250,21986149,5.72,95.11,,,104,,,101.5,100.1,99.9,NA,100.7,NA,93.8,NA,102.8,,104.6,,121.6,,108,,99.3,,98.4,,98.9,,100.5,,98.1,,96.2,,104.7,,,3680,81.79,,,123804.35,99371.07,8.9,16,12.3,14652.65,53147.15,132487.52
2001-01,0.1,1.9,15545007,16926471,12.44,96.39,,,105.22,,,101.2,100.9,99.6,102.3,100.5,100.3,99.5,101.1,101.4,,102.7,,111.2,,106,,98.9,,98.4,,99.7,,100.3,,98.4,,94.9,,103.6,,,3332.8,82.02,,,124987.67,100687.23,5.8,16.8,13.5,17018.98,54406.23,135685.99
2001-02,28.4,35.7,18225617,19198624,7.38,96.83,,,105.02,,,100,100.1,96.7,100.6,100.4,100,98.3,99.2,100.9,,101.8,,107.8,,104.5,,98.9,,98.6,,99.7,,99.9,,98.5,,96.1,,102.7,,,3047.1,82.22,,,125502.38,101425.74,6.6,16.4,12,14910.39,51997.68,134390.49
2001-03,14.3,16.6,20772526,23139003,22.65,97.49,,,106.15,,,100.8,99.4,99,98.9,100.4,100,98,99,100.2,,101,,102.9,,103.4,,98.9,,98.3,,99.9,,98.3,,98.5,,95.7,,102.1,,,2876.1,83.75,,,128899.71,102470.64,8.5,17.4,13.2,14362.12,53033.36,136915.12
