TIME,Exp_YoY,Imp_YoY,Exp,Imp,Trade,MEC,CFCI,CMI,Real Estate Climate Index(RECI),MPMI,PMI,CPI,CPI_food,CPI_health,CPI_trans,PPI,PPI_pro,PPI_ex,PPI_raw,PPI_fac,PPI_liv,PPI_food,PPI_clo,PPI_gen,PPI_dur,PPIRM,Consumption,NEERI,SHPE,SZPE,Deposit,Loan,M0_YoY,M1_YoY,M2_YoY,M0,M1,M2
Jan-00,47.6,54.1,15258393,16797277,15.23,96.5,NA,NA,102.24,NA,NA,99.8,96.9,100,94.2,100,101.9,118.7,103.1,97.4,96.5,94.5,98.4,97.2,95,2.1,2962.9,76.84,NA,NA,12.3,12.8,34.2,19.4,14.9,16093.9,46570.1,118907.8
Feb-00,34.5,54,13428609,14775380,13.52,97.54,NA,NA,102.57,NA,NA,100.7,98.6,99.8,94.2,101,103.1,124.6,104.6,97.1,97.4,93.6,100.9,97.2,97,3.61,2804.9,78.15,NA,NA,13.1,12.7,9.4,15.3,12.8,13983,44679.2,119353.6
Mar-00,35.9,23.9,17813579,20146482,23.33,96.9,NA,NA,101.82,NA,NA,99.8,96.7,99.7,93.8,101.9,104.4,128.5,106.2,97.6,97.2,94.6,100,97.7,95.2,4.79,2626.6,77.96,NA,NA,13,13.4,16.7,18.7,13,13235.4,45158.45,120399.58
Apr-00,38.8,32.7,18360795,20500392,21.58,97.27,NA,NA,101.85,NA,NA,99.7,96.1,99.7,93.7,102.6,105.3,133.9,107.2,97.5,97.6,94.9,100.4,97.9,96.2,5.3,2571.5,78.13,NA,NA,13.1,13.8,21.8,21.7,13.7,13675.5,46319.03,121914.77
May-00,29.6,24.2,16966429,20105176,31.47,96.98,NA,NA,102.2,NA,NA,100.1,96.9,99.8,93.8,102.5,104.9,119.4,108.5,98.2,98.2,95.3,100.9,98.9,96.6,5.5,2636.9,79.71,NA,NA,13,13.9,20.1,22.3,12.7,13075.45,46490.23,121902.65
Jun-00,45,39.8,20301402,22192970,19.05,97.35,NA,NA,102.69,NA,NA,100.5,97.6,99.9,93.6,102.9,105.5,119.1,110.1,98.1,98.4,94.9,101.9,97.9,98.4,7.1,2645.2,78.65,NA,NA,14.3,13.8,19.5,23.7,13.7,13006.04,48024.4,124486.78
Jul-00,24,40,19491628,21478509,19.87,97.9,NA,NA,102.94,NA,NA,100.5,97.6,100,93.7,104.5,107.2,126.3,111.5,98.5,99.7,95.4,104.6,99.4,97.8,8.6,2596.9,79.15,NA,NA,13.9,14.1,17.5,22.6,13.4,13156.47,47803.09,124192.78
Aug-00,27.3,54.6,20787740,23329185,25.4,97.68,NA,NA,103.32,NA,NA,100.3,97.4,100.5,93.7,103.9,106.4,127.8,110.6,99.8,98,97.4,100,98.6,96.8,4.6,2636.3,79.82,NA,NA,13.8,14,17.4,21.9,13.3,13378.68,48885.38,125673.26
Sep-00,23.7,35.7,20715034,22973290,22.68,97.34,NA,NA,103.52,NA,NA,100,96.3,101.1,93.7,103.7,106.4,125.4,111.1,99.8,97.3,97.7,98.8,97.4,95.4,5.1,2854.3,80.45,NA,NA,13.8,14.1,13.4,20.8,13.4,13894.69,50616.89,128352.61
Oct-00,24.9,37.1,18916401,22799974,38.27,96.23,NA,NA,103.43,NA,NA,100,96.3,101.3,93.6,103.6,106.1,126.8,110.2,99.8,97.5,97.3,99.9,98.2,95.6,5.2,3029.3,81.41,NA,NA,13.3,14.5,11.8,18.2,12.3,13589.45,49952.84,127432.53
