时间,居民消费价格指数(上年同月=100),居民消费价格指数(上月=100),工业生产者购进价格指数(上年同月=100),工业生产者购进价格指数(上月=100),工业生产者出厂价格指数(上年同月=100),工业生产者出厂价格指数(上月=100)
2000-01,99.8,,102.1,,100,
2000-02,100.7,,103.6,,101,
2000-03,99.8,,104.8,,101.9,
2000-04,99.7,,105.3,,102.6,
2000-05,100.1,,105.5,,102.5,
2000-06,100.5,,107.1,,102.9,
2000-07,100.5,,108.6,,104.5,
2000-08,100.3,,104.6,,103.9,
2000-09,100,,105.1,,103.7,
2000-10,100,,105.2,,103.6,
2000-11,101.3,,105,,103.5,
2000-12,101.5,,104.7,,102.8,
2001-01,101.2,100.9,103.6,,101.4,
2001-02,100,100.1,102.7,,100.9,
2001-03,100.8,99.4,102.1,,100.2,
2001-04,101.6,100.2,100.9,,99.9,
2001-05,101.7,99.5,101.1,,99.8,
2001-06,101.4,98.8,100.5,,99.4,
2001-07,101.5,99.5,99.6,,98.7,
2001-08,101,100.1,98.7,,98,
2001-09,99.9,100.9,98.2,,97.1,
2001-10,100.2,100.3,97.5,,96.9,
2001-11,99.7,99.8,96.5,,96.3,
2001-12,99.7,100.1,95.9,,96,
2002-01,99,100.3,95.1,,96,98.9
2002-02,100,101.1,95.3,,95.9,99.6
2002-03,99.2,98.7,95.4,,96,99.3
2002-04,98.7,99.7,96.2,,96.9,100.5
2002-05,98.9,99.7,97.2,,97.4,101.4
2002-06,99.2,99.1,97.2,,97.5,100.4
2002-07,99.1,99.3,97.5,,97.7,100.1
2002-08,99.3,100.3,98,,98.3,100.2
2002-09,99.3,101,98.8,,98.6,100.1
2002-10,99.2,100.2,99.4,,99,100.5
2002-11,99.3,99.9,100.5,,99.6,100.1
2002-12,99.6,100.3,101.3,,100.4,99.5
2003-01,100.4,101.1,103.2,,102.4,100.9
2003-02,100.2,100.9,104.8,,104,101.1
2003-03,100.9,99.4,105.8,,104.6,99.9
2003-04,101,99.8,105.9,,103.6,99.6
2003-05,100.7,99.3,104.4,,102,99.5
2003-06,100.3,98.8,103.9,,101.3,99.7
2003-07,100.5,99.5,104,,101.4,100.2
2003-08,100.9,100.7,104,,101.4,100.2
2003-09,101.1,101.2,104.1,,101.4,100.1
2003-10,101.8,100.9,104.6,,101.2,100.3
2003-11,103,101,105.9,,101.9,100.8
2003-12,103.2,100.6,107.1,,103,100.6
2004-01,103.2,101.1,107.4,,103.5,101.3
2004-02,102.1,99.8,108.1,,103.5,101.3
2004-03,103,100.3,109.5,,104,100.3
2004-04,103.8,100.5,110.5,,105,100.6
2004-05,104.4,99.9,111.2,,105.7,100.2
2004-06,105,99.3,111.8,,106.4,100.4
2004-07,105.3,99.8,112,,106.4,100.4
2004-08,105.3,100.7,112.9,,106.8,100.6
2004-09,105.2,101.1,113.7,,108,101.1
2004-10,104.3,100,114.2,,108.4,100.8
2004-11,102.8,99.7,113.7,,108.1,100.5
2004-12,102.4,100.1,112,,107.1,99.6
2005-01,101.9,100.6,110.7,,105.8,100.1
2005-02,103.9,101.8,109.8,,105.4,100.7
2005-03,102.7,99.1,109.7,,105.6,100.5
2005-04,101.8,99.7,109.9,,105.8,101.1
2005-05,101.8,99.8,110,,106,100.2
2005-06,101.6,99.2,109,,105.2,99.6
